Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/data0-omicsintegrator1-params-VLBYCLM/pathway.txt	312	305	7	307	0	0
output/data0-omicsintegrator1-params-VUHY7OZ/pathway.txt	240	236	4	237	0	0
output/data0-omicsintegrator1-params-VX4YIAT/pathway.txt	185	181	4	183	0	0
output/data0-omicsintegrator1-params-W62FVZF/pathway.txt	129	127	2	128	0	0
output/data0-omicsintegrator1-params-WBMYQHQ/pathway.txt	213	208	5	211	0	0
output/data0-omicsintegrator1-params-WBPIV77/pathway.txt	324	317	7	319	0	0
output/data0-omicsintegrator1-params-WILSTXF/pathway.txt	286	281	5	281	0	0
output/data0-omicsintegrator1-params-WJE5YDV/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-WMBGPC3/pathway.txt	236	232	4	233	0	0
output/data0-omicsintegrator1-params-WNSL55S/pathway.txt	306	299	7	301	0	0
output/data0-omicsintegrator1-params-WPBAVIZ/pathway.txt	325	318	7	320	0	0
output/data0-omicsintegrator1-params-WRQE3FZ/pathway.txt	294	288	6	289	0	0
output/data0-omicsintegrator1-params-WRTX7V2/pathway.txt	156	153	3	154	0	0
output/data0-omicsintegrator1-params-WV4QDSP/pathway.txt	306	299	7	301	0	0
output/data0-omicsintegrator1-params-X435WK4/pathway.txt	212	207	5	210	0	0
output/data0-omicsintegrator1-params-XDHFW5V/pathway.txt	178	174	4	176	0	0
output/data0-omicsintegrator1-params-XQU2OXM/pathway.txt	328	320	8	323	0	0
output/data0-omicsintegrator1-params-XRX5OSO/pathway.txt	330	322	8	325	0	0
output/data0-omicsintegrator1-params-XTRV4UE/pathway.txt	310	303	7	305	0	0
output/data0-omicsintegrator1-params-YC623S4/pathway.txt	232	228	4	229	0	0
output/data0-omicsintegrator1-params-YDHHD7D/pathway.txt	187	183	4	185	0	0
output/data0-omicsintegrator1-params-YEKX3W3/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-YGE6V2K/pathway.txt	295	289	6	290	0	0
output/data0-omicsintegrator1-params-YPACM5T/pathway.txt	244	240	4	241	0	0
output/data0-omicsintegrator1-params-YR3MNHR/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-YVUVVHA/pathway.txt	262	257	5	257	0	0
output/data0-omicsintegrator1-params-YXT3T47/pathway.txt	238	234	4	235	0	0
output/data0-omicsintegrator1-params-YYP27WP/pathway.txt	242	238	4	239	0	0
output/data0-omicsintegrator1-params-YZLHFDD/pathway.txt	295	289	6	290	0	0
output/data0-omicsintegrator1-params-Z5DUP7V/pathway.txt	234	230	4	231	0	0
output/data0-omicsintegrator1-params-Z6JA7O5/pathway.txt	330	322	8	325	0	0
output/data0-omicsintegrator1-params-ZCXWOC4/pathway.txt	315	308	7	310	0	0
output/data0-omicsintegrator1-params-ZGBQZ7E/pathway.txt	190	186	4	188	0	0
output/data0-omicsintegrator1-params-ZIH2KYL/pathway.txt	317	310	7	312	0	0
output/data0-omicsintegrator1-params-ZMAVAXH/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-ZP54GI4/pathway.txt	241	237	4	238	0	0
